"SP","Y","mean_LA"
"Acacia stenophylla",1996,-32.881615125
"Acacia stenophylla",1997,-30.447366
"Acacia stenophylla",1998,-32.452
"Acacia stenophylla",1999,-33.90285
"Acacia stenophylla",2000,-31.4152386
"Acacia stenophylla",2001,-34.0124880833333
"Acacia stenophylla",2002,-33.4221922666667
"Acacia stenophylla",2003,-31.8586612857143
"Acacia stenophylla",2004,-30.886228
"Acacia stenophylla",2005,-22.590117
"Acacia stenophylla",2006,-31.1353786
"Acacia stenophylla",2007,-36.1701866666667
"Acacia stenophylla",2008,-33.5192407
"Acacia stenophylla",2009,-34.31579935
"Acacia stenophylla",2010,-28.9553963333333
"Acacia stenophylla",2011,-34.0651593636364
"Acacia stenophylla",2012,-34.6307928461538
"Acacia stenophylla",2013,-34.3862961538462
"Acacia stenophylla",2014,-30.2241425
"Acacia stenophylla",2015,-34.6640857142857
"Acacia stenophylla",2016,-32.8443880666667
"Acacia stenophylla",2017,-34.3827
"Acacia stenophylla",2018,-34.5722469230769
"Acacia stenophylla",2019,-34.6789483333333
"Acacia stenophylla",2020,-31.14133
"Allocasuarina littoralis",1972,-21.6289423333333
"Allocasuarina littoralis",1973,-28.2488737857143
"Allocasuarina littoralis",1974,-17.611748
"Allocasuarina littoralis",1976,-34.835
"Allocasuarina littoralis",1977,-21.2394584545455
"Allocasuarina littoralis",1978,-21.77894
"Allocasuarina littoralis",1979,-21.3359355
"Allocasuarina littoralis",1980,-29.45253275
"Allocasuarina littoralis",1981,-10.590171
"Allocasuarina littoralis",1982,-21.8795912
"Allocasuarina littoralis",1983,-28.0480166
"Allocasuarina littoralis",1984,-22.8137032
"Allocasuarina littoralis",1985,-30.6745992580645
"Allocasuarina littoralis",1986,-27.2581435714286
"Allocasuarina littoralis",1987,-20.8466595555556
"Allocasuarina littoralis",1988,-29.3779625555556
"Allocasuarina littoralis",1989,-23.724247625
"Allocasuarina littoralis",1990,-20.1919216666667
"Allocasuarina littoralis",1991,-31.459008
"Allocasuarina littoralis",1992,-23.7138738
"Allocasuarina littoralis",1993,-27.2680722173913
"Allocasuarina littoralis",1994,-26.5050513
"Allocasuarina littoralis",1995,-27.0094607142857
"Allocasuarina littoralis",1996,-25.5459106666667
"Allocasuarina littoralis",1997,-26.3169036666667
"Allocasuarina littoralis",1998,-27.5781108461538
"Allocasuarina littoralis",1999,-28.870575
"Allocasuarina littoralis",2000,-27.06502025
"Allocasuarina littoralis",2001,-26.8631596666667
"Allocasuarina littoralis",2002,-25.821789
"Allocasuarina littoralis",2003,-17.0653156666667
"Allocasuarina littoralis",2004,-25.4479342
"Allocasuarina littoralis",2005,-21.169197
"Allocasuarina littoralis",2006,-24.113835875
"Allocasuarina littoralis",2007,-22.2407898571429
"Allocasuarina littoralis",2008,-17.0478912857143
"Allocasuarina littoralis",2009,-27.1069768
"Allocasuarina littoralis",2011,-30.3137856666667
"Allocasuarina littoralis",2012,-31.7208
"Allocasuarina littoralis",2013,-24.91318875
"Allocasuarina littoralis",2014,-23.5628766666667
"Allocasuarina littoralis",2015,-27.2717205714286
"Allocasuarina littoralis",2017,-15.634444
"Allocasuarina littoralis",2018,-34.5009853333333
"Allocasuarina littoralis",2019,-32.8635005
"Alphitonia excelsa",1972,-17.3747366
"Alphitonia excelsa",1973,-24.4970995
"Alphitonia excelsa",1974,-18.7617258333333
"Alphitonia excelsa",1975,-18.118444375
"Alphitonia excelsa",1976,-23.7118701666667
"Alphitonia excelsa",1977,-24.5321682727273
"Alphitonia excelsa",1978,-13.781819
"Alphitonia excelsa",1979,-26.823403
"Alphitonia excelsa",1980,-20.3557778571429
"Alphitonia excelsa",1981,-17.2884095
"Alphitonia excelsa",1982,-15.5568155
"Alphitonia excelsa",1983,-22.44968725
"Alphitonia excelsa",1984,-20.440442
"Alphitonia excelsa",1985,-20.3453401666667
"Alphitonia excelsa",1986,-25.519793
"Alphitonia excelsa",1987,-30.6
"Alphitonia excelsa",1988,-19.5781676153846
"Alphitonia excelsa",1989,-21.5438371538462
"Alphitonia excelsa",1990,-19.9112776666667
"Alphitonia excelsa",1991,-25.3283925
"Alphitonia excelsa",1992,-21.6924726363636
"Alphitonia excelsa",1993,-21.2140926428571
"Alphitonia excelsa",1994,-22.0376218461538
"Alphitonia excelsa",1995,-23.6136498
"Alphitonia excelsa",1996,-21.435203375
"Alphitonia excelsa",1997,-21.4886281
"Alphitonia excelsa",1998,-22.9176345
"Alphitonia excelsa",1999,-21.930826
"Alphitonia excelsa",2000,-24.7448181428571
"Alphitonia excelsa",2001,-23.7764838571429
"Alphitonia excelsa",2002,-19.8802944
"Alphitonia excelsa",2003,-16.984762
"Alphitonia excelsa",2004,-24.351324
"Alphitonia excelsa",2005,-20.7539613333333
"Alphitonia excelsa",2006,-21.85464925
"Alphitonia excelsa",2007,-16.4381126111111
"Alphitonia excelsa",2008,-18.597289
"Alphitonia excelsa",2009,-17.1379962222222
"Alphitonia excelsa",2010,-15.8238773333333
"Alphitonia excelsa",2011,-17.868034
"Alphitonia excelsa",2012,-18.1735251666667
"Alphitonia excelsa",2013,-21.7242996
"Alphitonia excelsa",2014,-18.9781675555556
"Alphitonia excelsa",2015,-27.4511906666667
"Alphitonia excelsa",2016,-16.84327
"Alphitonia excelsa",2018,-18.84892075
"Alphitonia excelsa",2019,-34.616826
"Alphitonia excelsa",2020,-29.78036
"Alphitonia excelsa",2021,-15.5495295
"Aristida holathera",1972,-17.9468192
"Aristida holathera",1973,-17.6322933333333
"Aristida holathera",1974,-19.1202154444444
"Aristida holathera",1975,-23.167396125
"Aristida holathera",1976,-22.3704504
"Aristida holathera",1977,-26.785913
"Aristida holathera",1978,-19.336343
"Aristida holathera",1979,-26.61752925
"Aristida holathera",1980,-17.406208
"Aristida holathera",1981,-12.5235
"Aristida holathera",1982,-14.47
"Aristida holathera",1983,-18.705203
"Aristida holathera",1984,-20.573442
"Aristida holathera",1985,-24.606756
"Aristida holathera",1986,-10.5917
"Aristida holathera",1987,-18.8529525
"Aristida holathera",1988,-19.073468
"Aristida holathera",1989,-17.8792382
"Aristida holathera",1990,-16.5980900666667
"Aristida holathera",1991,-16.1175854545455
"Aristida holathera",1992,-19.4612624285714
"Aristida holathera",1993,-19.8200709333333
"Aristida holathera",1994,-20.780928
"Aristida holathera",1995,-22.0865283333333
"Aristida holathera",1997,-25.9197532857143
"Aristida holathera",1998,-23.3784457
"Aristida holathera",1999,-21.6231136666667
"Aristida holathera",2000,-21.945196
"Aristida holathera",2001,-20.2795457692308
"Aristida holathera",2002,-18.292895
"Aristida holathera",2003,-17.0479783333333
"Aristida holathera",2004,-18.9282903333333
"Aristida holathera",2005,-22.76669025
"Aristida holathera",2006,-19.3937383333333
"Aristida holathera",2007,-17.2723471818182
"Aristida holathera",2008,-19.1225749166667
"Aristida holathera",2009,-24.0087146363636
"Aristida holathera",2010,-21.4365917142857
"Aristida holathera",2011,-19.7921253333333
"Aristida holathera",2012,-17.9249607777778
"Aristida holathera",2013,-17.003333
"Aristida holathera",2014,-16.2795276666667
"Aristida holathera",2015,-19.041061875
"Aristida holathera",2016,-18.76412525
"Aristida holathera",2017,-26.569454
"Aristida holathera",2019,-13.83394
"Atriplex suberecta",1972,-32.5
"Atriplex suberecta",1973,-34.38
"Atriplex suberecta",1974,-34.4756633333333
"Atriplex suberecta",1977,-34.961005
"Atriplex suberecta",1978,-34.76083
"Atriplex suberecta",1979,-34.882585
"Atriplex suberecta",1980,-37.48542
"Atriplex suberecta",1981,-36.54842
"Atriplex suberecta",1982,-36.381835
"Atriplex suberecta",1983,-34.3092525
"Atriplex suberecta",1984,-37.8184066666667
"Atriplex suberecta",1985,-35.7623833333333
"Atriplex suberecta",1986,-35.4561277777778
"Atriplex suberecta",1987,-36.5134381818182
"Atriplex suberecta",1988,-38.053415
"Atriplex suberecta",1989,-38.34854
"Atriplex suberecta",1990,-35.1448971428571
"Atriplex suberecta",1991,-36.1826422222222
"Atriplex suberecta",1992,-36.8544
"Atriplex suberecta",1993,-35.547846
"Atriplex suberecta",1994,-36.0873133333333
"Atriplex suberecta",1995,-34.8429545454545
"Atriplex suberecta",1996,-37.16978
"Atriplex suberecta",1997,-34.61694
"Atriplex suberecta",1998,-34.58736
"Atriplex suberecta",1999,-34.7220125
"Atriplex suberecta",2000,-34.58722
"Atriplex suberecta",2001,-36.136482
"Atriplex suberecta",2002,-34.7348958333333
"Atriplex suberecta",2003,-33.8221366666667
"Atriplex suberecta",2004,-36.48769
"Atriplex suberecta",2005,-33.29697
"Atriplex suberecta",2006,-36.1853185714286
"Atriplex suberecta",2007,-37.266945
"Atriplex suberecta",2008,-36.4411125
"Atriplex suberecta",2009,-36.920675
"Atriplex suberecta",2010,-37.8148466666667
"Atriplex suberecta",2011,-35.90705125
"Atriplex suberecta",2012,-35.6392837931034
"Atriplex suberecta",2013,-34.126
"Atriplex suberecta",2014,-34.66593
"Atriplex suberecta",2015,-34.76069
"Atriplex suberecta",2016,-34.4185980952381
"Atriplex suberecta",2017,-34.5977384
"Atriplex suberecta",2018,-34.84591
"Atriplex suberecta",2019,-35.7525966666667
"Brachychiton populneus",1972,-31.2461
"Brachychiton populneus",1973,-37.56511
"Brachychiton populneus",1976,-36.722915
"Brachychiton populneus",1978,-37.57611
"Brachychiton populneus",1979,-36.4276272727273
"Brachychiton populneus",1980,-37.1455461111111
"Brachychiton populneus",1981,-35.20259
"Brachychiton populneus",1982,-25.440281
"Brachychiton populneus",1983,-23.823422
"Brachychiton populneus",1984,-37.5818933333333
"Brachychiton populneus",1985,-35.77422
"Brachychiton populneus",1986,-36.2463875
"Brachychiton populneus",1987,-36.0552758823529
"Brachychiton populneus",1988,-33.3483733333333
"Brachychiton populneus",1989,-36.665001
"Brachychiton populneus",1990,-35.2218221666667
"Brachychiton populneus",1991,-28.9818041428571
"Brachychiton populneus",1992,-31.3718001666667
"Brachychiton populneus",1993,-32.240415
"Brachychiton populneus",1994,-32.9112871111111
"Brachychiton populneus",1995,-26.205275
"Brachychiton populneus",1996,-37.0611043478261
"Brachychiton populneus",1997,-33.3840765
"Brachychiton populneus",1998,-35.9561455555556
"Brachychiton populneus",1999,-34.1704922857143
"Brachychiton populneus",2000,-35.67652575
"Brachychiton populneus",2001,-31.2688957857143
"Brachychiton populneus",2002,-33.7948094090909
"Brachychiton populneus",2003,-31.667985
"Brachychiton populneus",2004,-36.752475
"Brachychiton populneus",2005,-35.3913914736842
"Brachychiton populneus",2006,-34.3053176
"Brachychiton populneus",2007,-34.41399
"Brachychiton populneus",2008,-35.67458728
"Brachychiton populneus",2009,-33.4233924285714
"Brachychiton populneus",2010,-37.3080533333333
"Brachychiton populneus",2011,-36.3865506
"Brachychiton populneus",2012,-35.7718647777778
"Brachychiton populneus",2013,-28.992454
"Brachychiton populneus",2014,-33.0153103333333
"Brachychiton populneus",2015,-17.375
"Brachychiton populneus",2016,-35.6793233333333
"Brachychiton populneus",2017,-36.8270092592593
"Brachychiton populneus",2018,-35.6474083333333
"Brachychiton populneus",2019,-37.7441
"Brachychiton populneus",2020,-37.0980855
"Bulbostylis barbata",1973,-17.9693107777778
"Bulbostylis barbata",1974,-25.645042
"Bulbostylis barbata",1975,-21.0079485
"Bulbostylis barbata",1976,-25.0983935
"Bulbostylis barbata",1977,-22.098458
"Bulbostylis barbata",1978,-22.6375
"Bulbostylis barbata",1979,-16.2777515
"Bulbostylis barbata",1980,-18.523801375
"Bulbostylis barbata",1981,-24.9209564444444
"Bulbostylis barbata",1983,-17.74896695
"Bulbostylis barbata",1984,-22.0962824444444
"Bulbostylis barbata",1985,-28.4
"Bulbostylis barbata",1986,-20.7740688
"Bulbostylis barbata",1987,-13.9066666666667
"Bulbostylis barbata",1988,-18.1193675
"Bulbostylis barbata",1989,-16.8811666666667
"Bulbostylis barbata",1990,-18.0476401428571
"Bulbostylis barbata",1991,-19.603716
"Bulbostylis barbata",1992,-18.3135101304348
"Bulbostylis barbata",1993,-16.0305714545455
"Bulbostylis barbata",1994,-17.928070625
"Bulbostylis barbata",1995,-17.465184
"Bulbostylis barbata",1996,-25.2896458
"Bulbostylis barbata",1997,-25.1721638333333
"Bulbostylis barbata",1998,-20.642323
"Bulbostylis barbata",1999,-18.5464915454545
"Bulbostylis barbata",2000,-20.38768975
