"species","stateProvince","decimalLatitude","decimalLongitude"
"Casuarina glauca","Queensland",-27.390069,153.126061
"Beilschmiedia bancroftii","Queensland",-16.458333,145.208333
"Lophostemon suaveolens","Queensland",-13.673489,143.342786
"Drimys insipida","Queensland",-16.458333,145.208333
"Leptosema oxylobioides","Queensland",-19.006789,146.092778
"Capparis sarmentosa","Queensland",-28.223404,152.742745
"Pseuduvaria froggattii","Queensland",-16.17347,145.426106
"Terminalia hadleyana","Queensland",-17.973487,141.492825
"Horsfieldia australiana","Queensland",-12.756827,143.25945
"Aglaia brassii","Queensland",-16.435693,145.219995
"Amorphospermum antilogum","Queensland",-15.090139,145.259436
"Corymbia intermedia","Queensland",-24.790083,150.976076
"Storckiella australiensis","Queensland",-16.17347,145.176106
"Pteridium esculentum","Queensland",-26.056736,153.059387
"Eucalyptus microtheca","Queensland",-17.873487,141.126158
"Pittosporum viscidum","Queensland",-27.673405,152.64274
"Ptychosperma elegans","Queensland",-16.02347,145.342773
"Trentepohlia arborum","Queensland",-18.606792,145.809448
"Cyperus orgadophilus","Queensland",-17.94015,141.79282
"Perrotettia arborescens","Queensland",-17.390131,145.759437
"Cyperus pedunculatus","Queensland",-14.106815,144.342776
"Cyclophyllum multiflorum","Queensland",-16.106804,145.459439
"Ixora biflora","Queensland",-16.1325,145.452778
"Gonocarpus chinensis","Queensland",-27.590068,153.092732
"Calytrix microcoma","Queensland",-20.723462,145.192799
"Lindsaea incisa","Queensland",-27.540068,153.059399
"Grevillea banksii","Queensland",-22.923422,150.709405
"Corymbia terminalis","Queensland",-17.340136,144.626117
"Agathis atropurpurea","Queensland",-17.040131,145.609437
"Gardenia actinocarpa","Queensland",-16.138056,145.440833
"Sporobolus scabridus","Queensland",-27.323425,149.892784
"Oxylobium robustum","Queensland",-26.673408,152.976064
"Zieria smithii","Queensland",-27.41924,152.842736
"Eucalyptus populnea","Queensland",-27.391667,151.775
"Capparis lasiantha","Queensland",-17.973484,141.509486
"Buckinghamia celsissima","Queensland",-15.790138,145.29277
"Austromuellera trinervia","Queensland",-17.366389,145.694722
"Eucalyptus pellita","Queensland",-12.756827,143.176116
"Pipturus argenteus","Queensland",-17.340131,145.509437
"Palmeria hypotephra","Queensland",-18.423458,146.259438
"Wilkiea longipes","Queensland",-16.106804,145.459439
"Dianella atraxis","Queensland",-17.090131,145.592771
"Endiandra monothyra","Queensland",-17.390131,145.759437
"Trentepohlia arborum","Queensland",-16.17347,145.426106
"Ipomoea urceolata","Queensland",-12.756827,143.176116
"Heterachne abortiva","Queensland",-17.890154,141.159491
"Spergularia marina","Queensland",-27.390069,153.126061
"Eucalyptus pachycalyx","Queensland",-17.606802,144.992786
"Gleichenia dicarpa","Queensland",-27.556735,153.059399
"Schoenus apogon","Queensland",-27.540068,153.109399
"Synoum glandulosum","Queensland",-26.290075,152.842726
"Mallotus resinosus","Queensland",-14.590144,144.592774
"Euphorbia stevenii","Queensland",-22.82344,147.65944
"Sphenostemon lobosporus","Queensland",-17.156798,145.642771
"Cyperus cyperoides","Queensland",-27.506738,152.99274
"Corymbia clarksoniana","Queensland",-20.54012,146.259455
"Corymbia plena","Queensland",-24.423452,145.409492
"Syzygium cormiflorum","Queensland",-12.673494,143.25945
"Cynanchum viminale","Queensland",-17.173469,144.592784
"Gossia bidwillii","Queensland",-21.475,148.591667
"Pultenaea robusta","Queensland",-26.056736,153.09272
"Acacia leptocarpa","Queensland",-16.491667,145.008333
"Eragrostis tenellula","Queensland",-18.190153,141.326159
"Grevillea baileyana","Queensland",-16.840133,145.642768
"Xylopia maccreae","Queensland",-18.423458,146.259438
"Paphia meiniana","Queensland",-15.823472,145.29277
"Elaeodendron melanocarpum","Queensland",-22.029167,149.519722
"Ficus rubiginosa","Queensland",-20.173449,146.759444
"Aristida calycina","Queensland",-27.390069,153.126061
"Garcinia zichii","Queensland",-15.823472,145.309437
"Mischarytera megaphylla","Queensland",-16.106804,145.459439
"Stylidium graminifolium","Queensland",-17.390134,145.392777
"Ophiorrhiza australiana","Queensland",-12.673494,143.25945
"Litsea connorsii","Queensland",-17.173465,145.592771
"Ptisana oreades","Queensland",-16.440137,145.259439
"Dysoxylum mollissimum","Queensland",-16.139722,145.439444
"Myristica globosa","Queensland",-15.790138,145.29277
"Eucalyptus crebra","Queensland",-17.423467,145.259444
"Trentepohlia rigidula","Queensland",-16.440137,145.276106
"Acacia neriifolia","Queensland",-27.556742,152.076082
"Tricoryne anceps","Queensland",-18.423458,146.259438
"Dysoxylum alliaceum","Queensland",-18.273458,146.242772
"Acacia bivenosa","Queensland",-20.390162,139.359531
"Syzygium divaricatum","Queensland",-17.340129,146.00943
"Lasjia claudiensis","Queensland",-12.840161,143.342783
"Randia tuberculosa","Queensland",-15.790138,145.29277
"Corymbia watsoniana","Queensland",-25.673418,151.092745
"Placospermum coriaceum","Queensland",-16.458333,145.208333
"Corymbia clarksoniana","Queensland",-16.256806,144.759446
"Phylacium bracteosum","Queensland",-12.756827,143.25945
"Breynia macrantha","Queensland",-17.228467,145.480555
"Syzygium alatoramulum","Queensland",-17.040131,145.626104
"Eucalyptus melanophloia","Queensland",-20.79012,146.192789
"Acacia legnota","Queensland",-15.090139,145.259436
"Mischocarpus macrocarpus","Queensland",-16.573469,145.276108
"Kardomia granitica","Queensland",-28.823411,151.942767
"Hovea longipes","Queensland",-20.090116,146.926111
"Eucalyptus howittiana","Queensland",-18.423464,145.342784
"Corymbia setosa","Queensland",-16.756806,144.092786
"Dendrolobium arbuscula","Queensland",-17.340136,144.592784
