"SP","Y","elevation"
"Melaleuca ericifolia",1986,57.3392857142857
"Melaleuca ericifolia",1987,37.275
"Melaleuca ericifolia",1988,51.0540540540541
"Melaleuca ericifolia",1989,52.3956043956044
"Melaleuca ericifolia",1990,33.9444444444444
"Melaleuca ericifolia",1991,55.1428571428571
"Melaleuca ericifolia",1992,47.9016393442623
"Melaleuca ericifolia",1993,20.4838709677419
"Melaleuca ericifolia",1994,57.9090909090909
"Melaleuca ericifolia",1995,36.1538461538462
"Melaleuca ericifolia",1996,45.5945945945946
"Melaleuca ericifolia",1997,52.438202247191
"Melaleuca ericifolia",1998,35.6315789473684
"Melaleuca ericifolia",1999,46.6078431372549
"Melaleuca ericifolia",2000,52.6067415730337
"Melaleuca ericifolia",2001,30.8125
"Melaleuca ericifolia",2002,40.1034482758621
"Melaleuca ericifolia",2003,33.0731707317073
"Melaleuca ericifolia",2004,34.4615384615385
"Melaleuca ericifolia",2005,53.7727272727273
"Melaleuca ericifolia",2006,48.0909090909091
"Melaleuca ericifolia",2007,46.125
"Melaleuca ericifolia",2008,74.6666666666667
"Melaleuca ericifolia",2009,17.6666666666667
"Melaleuca ericifolia",2010,17.4285714285714
"Melaleuca ericifolia",2011,8
"Melaleuca ericifolia",2012,49
"Melaleuca ericifolia",2013,125
"Melaleuca ericifolia",2014,381.166666666667
"Melaleuca ericifolia",2015,185.222222222222
"Melaleuca parvistaminea",1980,100
"Melaleuca parvistaminea",1982,135
"Melaleuca parvistaminea",1985,100
"Melaleuca parvistaminea",1987,90
"Melaleuca parvistaminea",1989,61.5
"Melaleuca parvistaminea",1990,92
"Melaleuca parvistaminea",1991,85
"Melaleuca parvistaminea",1992,150
"Melaleuca parvistaminea",1993,113.333333333333
"Melaleuca parvistaminea",1994,78.8
"Melaleuca parvistaminea",1995,79.1666666666667
"Melaleuca parvistaminea",1996,145.714285714286
"Melaleuca parvistaminea",1997,139.333333333333
"Melaleuca parvistaminea",1998,183.636363636364
"Melaleuca parvistaminea",1999,134
"Melaleuca parvistaminea",2000,86.5
"Melaleuca parvistaminea",2001,306.5
"Melaleuca parvistaminea",2004,75
"Melaleuca parvistaminea",2005,31.6666666666667
"Melaleuca parvistaminea",2006,82.75
"Melaleuca parvistaminea",2007,88.5
"Melaleuca parvistaminea",2008,232
"Melaleuca parvistaminea",2009,66.75
"Melaleuca parvistaminea",2010,1
"Melaleuca parvistaminea",2012,586
"Melaleuca parvistaminea",2013,624
"Melaleuca parvistaminea",2014,283.833333333333
"Melaleuca parvistaminea",2015,191.361111111111
"Melaleuca parvistaminea",2017,156.542857142857
"Pittosporum undulatum",1973,158.888888888889
"Pittosporum undulatum",1974,56
"Pittosporum undulatum",1975,173.75
"Pittosporum undulatum",1976,83.4210526315789
"Pittosporum undulatum",1977,241.277777777778
"Pittosporum undulatum",1978,87.8260869565217
"Pittosporum undulatum",1979,158.888888888889
"Pittosporum undulatum",1980,139.242424242424
"Pittosporum undulatum",1981,57.3658536585366
"Pittosporum undulatum",1982,86
"Pittosporum undulatum",1983,318.333333333333
"Pittosporum undulatum",1984,163.157894736842
"Pittosporum undulatum",1985,112.836538461538
"Pittosporum undulatum",1986,114.096153846154
"Pittosporum undulatum",1987,130.40625
"Pittosporum undulatum",1988,192.271844660194
"Pittosporum undulatum",1989,121.795698924731
"Pittosporum undulatum",1990,166.969696969697
"Pittosporum undulatum",1991,264.681592039801
"Pittosporum undulatum",1992,146.951612903226
"Pittosporum undulatum",1993,218.4
"Pittosporum undulatum",1994,181.083333333333
"Pittosporum undulatum",1995,97.195652173913
"Pittosporum undulatum",1996,100.718309859155
"Pittosporum undulatum",1997,113.373015873016
"Pittosporum undulatum",1998,111.957142857143
"Pittosporum undulatum",1999,120.936507936508
"Pittosporum undulatum",2000,71.0428571428571
"Pittosporum undulatum",2001,40.8269230769231
"Pittosporum undulatum",2002,85.5089285714286
"Pittosporum undulatum",2003,82.9253731343284
"Pittosporum undulatum",2004,115.111111111111
"Pittosporum undulatum",2005,181
"Pittosporum undulatum",2006,109.265306122449
"Pittosporum undulatum",2007,106.142857142857
"Pittosporum undulatum",2008,131.681818181818
"Pittosporum undulatum",2009,95.9677419354839
"Pittosporum undulatum",2010,122
"Pittosporum undulatum",2011,350.625
"Pittosporum undulatum",2012,315.705882352941
"Pittosporum undulatum",2013,83.4
"Pittosporum undulatum",2014,347.391304347826
"Pittosporum undulatum",2015,285.0625
"Pittosporum undulatum",2017,405.777777777778
"Pittosporum undulatum",2018,763
"Pycnosorus globosus",1982,100
"Pycnosorus globosus",1983,100
"Pycnosorus globosus",1989,111.666666666667
"Pycnosorus globosus",1990,122.5
"Pycnosorus globosus",1991,116.95
"Pycnosorus globosus",1992,103.586206896552
"Pycnosorus globosus",1993,114.5
"Pycnosorus globosus",1994,150.066666666667
"Pycnosorus globosus",1995,100
"Pycnosorus globosus",1996,104.333333333333
"Pycnosorus globosus",1997,109.6
"Pycnosorus globosus",1998,102
"Pycnosorus globosus",1999,93.3333333333333
"Pycnosorus globosus",2000,82
"Pycnosorus globosus",2001,289.285714285714
"Pycnosorus globosus",2002,317
"Pycnosorus globosus",2004,114.333333333333
"Pycnosorus globosus",2005,36.6666666666667
"Pycnosorus globosus",2007,412
"Pycnosorus globosus",2008,100
"Pycnosorus globosus",2010,221
"Pycnosorus globosus",2014,393
"Pycnosorus globosus",2015,146.692307692308
"Pycnosorus globosus",2017,139.642857142857
"Pycnosorus globosus",2018,0
"Pycnosorus globosus",2019,322
"Tribulus terrestris",1983,40
"Tribulus terrestris",1988,40
"Tribulus terrestris",1992,230
"Tribulus terrestris",1995,300
"Tribulus terrestris",1996,107
"Tribulus terrestris",1997,60
"Tribulus terrestris",1998,102.5
"Tribulus terrestris",2000,275
"Tribulus terrestris",2002,280
"Tribulus terrestris",2004,590
"Tribulus terrestris",2007,200
"Tribulus terrestris",2008,265
"Tribulus terrestris",2011,190
"Tribulus terrestris",2014,266.5
